,person_id,first_name,last_name,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag
1909,77172,Howie,Jolliff,Howie Jolliff,"Jolliff, Howie",H. Jolliff,howie-jolliff,1938-07-20,Ohio,USA,Ohio/USA,6-7,218.0,3.0,54,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_howie_jolliff,1960.0,1962.0,N,Y,Y,1960,7,50,N
1946,1630222,Mason,Jones,Mason Jones,"Jones, Mason",M. Jones,mason-jones,1998-07-21,Arkansas,USA,Arkansas/USA,6-4,200.0,3.0,40,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,mason_jones,2020.0,2021.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1971,77211,Johnny,Jorgensen,Johnny Jorgensen,"Jorgensen, Johnny",J. Jorgensen,johnny-jorgensen,1921-12-28,DePaul,USA,DePaul/USA,6-2,185.0,2.0,16,Guard,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_johnny_jorgensen,1947.0,1948.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
1982,77219,Ed,Kalafat,Ed Kalafat,"Kalafat, Ed",E. Kalafat,ed-kalafat,1932-10-13,Minnesota,USA,Minnesota/USA,6-6,245.0,3.0,23,Center,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_ed_kalafat,1954.0,1956.0,N,Y,Y,1954,1,9,N
1990,201207,Coby,Karl,Coby Karl,"Karl, Coby",C. Karl,coby-karl,1983-06-08,Boise State,USA,Boise State/USA,6-5,215.0,3.0,22,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,coby_karl,2007.0,2009.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
2007,203527,Ryan,Kelly,Ryan Kelly,"Kelly, Ryan",R. Kelly,ryan-kelly,1991-04-09,Duke,USA,Duke/USA,6-11,230.0,5.0,30,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,ryan_kelly,2013.0,2016.0,Y,Y,Y,2013,2,48,N
2048,77270,Jim,King,Jim King,"King, Jim",J. King,jim-king,1941-02-07,Tulsa,USA,Tulsa/USA,6-2,175.0,10.0,21,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_country_king,1963.0,1972.0,N,Y,Y,1963,2,13,N
2074,969,Travis,Knight,Travis Knight,"Knight, Travis",T. Knight,travis-knight,1974-09-13,Connecticut,USA,Connecticut/USA,7-0,235.0,8.0,44,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,travis_knight,1996.0,2002.0,N,Y,Y,1996,1,29,N
2098,77311,Jim,Krebs,Jim Krebs,"Krebs, Jim",J. Krebs,jim-krebs,1935-09-08,Southern Methodist,USA,Southern Methodist/USA,6-8,230.0,7.0,32,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_red_krebs,1957.0,1963.0,N,Y,Y,1957,1,3,N
2113,77325,Charles,Kupec,Charles Kupec,"Kupec, Charles",C. Kupec,charles-kupec,1953-01-16,Michigan,USA,Michigan/USA,6-6,220.0,3.0,25,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_cj_kupec,1975.0,1977.0,N,Y,Y,1975,4,56,N
2123,77340,Rudy,LaRusso,Rudy LaRusso,"LaRusso, Rudy",R. LaRusso,rudy-larusso,1937-11-11,Dartmouth,USA,Dartmouth/USA,6-8,220.0,10.0,35,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_rudy_larusso,1959.0,1968.0,N,Y,Y,1959,2,10,N
2141,77334,Mark,Landsberger,Mark Landsberger,"Landsberger, Mark",M. Landsberger,mark-landsberger,1955-05-21,Arizona State,USA,Arizona State/USA,6-8,215.0,7.0,54,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_mark_landsberger,1977.0,1983.0,N,Y,Y,1977,2,35,N
2196,77371,Bob,Leonard,Bob Leonard,"Leonard, Bob",B. Leonard,bob-leonard,1932-07-17,Indiana,USA,Indiana/USA,6-3,185.0,7.0,21,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_slick_leonard,1956.0,1962.0,N,Y,Y,1954,2,10,N
2263,77414,Clyde,Lovellette,Clyde Lovellette,"Lovellette, Clyde",C. Lovellette,clyde-lovellette,1929-09-07,Kansas,USA,Kansas/USA,6-9,234.0,11.0,34,Center,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_clyde_lovellette,1953.0,1963.0,N,Y,Y,1952,1,9,N
2282,77427,Mike,Lynn,Mike Lynn,"Lynn, Mike",M. Lynn,mike-lynn,1945-11-25,UCLA,USA,UCLA/USA,6-7,215.0,2.0,25,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_mike_lynn,1969.0,1970.0,N,Y,Y,1968,4,39,N
2349,203088,Kendall,Marshall,Kendall Marshall,"Marshall, Kendall",K. Marshall,kendall-marshall,1991-08-19,North Carolina,USA,North Carolina/USA,6-4,200.0,5.0,5,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,kendall_marshall,2012.0,2015.0,Y,Y,Y,2012,1,13,N
2372,77480,Slater,Martin,Slater Martin,"Martin, Slater",S. Martin,slater-martin,1925-10-22,Texas-Austin,USA,Texas-Austin/USA,5-10,170.0,11.0,22,Guard,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_slater_martin,1949.0,1959.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
2406,2788,DJ,Mbenga,DJ Mbenga,"Mbenga, DJ",D. Mbenga,dj-mbenga,1980-12-30,Spirou Charleroi,Belgium,Spirou Charleroi/Belgium,7-0,255.0,8.0,28,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,dj_mbenga,2004.0,2010.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
2414,77502,Mel,McCants,Mel McCants,"McCants, Mel",M. McCants,mel-mccants,1967-08-19,Purdue,USA,Purdue/USA,6-8,240.0,1.0,49,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_mel_mccants,1989.0,1989.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
2418,77505,Willie,McCarter,Willie McCarter,"McCarter, Willie",W. McCarter,willie-mccarter,1946-07-26,Drake,USA,Drake/USA,6-3,175.0,3.0,17,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_willie_mccarter,1969.0,1971.0,N,Y,Y,1969,1,12,N
2454,77530,Mike,McGee,Mike McGee,"McGee, Mike",M. McGee,mike-mcgee,1959-07-29,Michigan,USA,Michigan/USA,6-5,190.0,9.0,40,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_mike_mcgee,1981.0,1989.0,N,Y,Y,1981,1,19,N
2485,77554,Jim,McMillian,Jim McMillian,"McMillian, Jim",J. McMillian,jim-mcmillian,1948-03-11,Columbia,USA,Columbia/USA,6-5,215.0,9.0,5,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_jim_mcmillian,1970.0,1978.0,N,Y,Y,1970,1,13,N
2498,2098,Slava,Medvedenko,Slava Medvedenko,"Medvedenko, Slava",S. Medvedenko,slava-medvedenko,1979-04-04,Kyiv,Ukraine,Kyiv/Ukraine,6-10,253.0,8.0,3,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,slava_medvedenko,2000.0,2006.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
2510,77579,Chuck,Mencel,Chuck Mencel,"Mencel, Chuck",C. Mencel,chuck-mencel,1933-04-21,Minnesota,USA,Minnesota/USA,6-0,168.0,2.0,18,Guard,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_chuck_mencel,1955.0,1956.0,N,Y,Y,1955,2,12,N
2527,600012,George,Mikan,George Mikan,"Mikan, George",G. Mikan,george-mikan,1924-06-18,DePaul,USA,DePaul/USA,6-10,245.0,7.0,99,Center,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_george_mikan,1948.0,1955.0,N,Y,Y,Undrafted,Undrafted,Undrafted,Y
2529,77593,Vern,Mikkelsen,Vern Mikkelsen,"Mikkelsen, Vern",V. Mikkelsen,vern-mikkelsen,1928-10-21,Hamline,USA,Hamline/USA,6-7,230.0,10.0,19,Forward,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_vern_mikkelsen,1949.0,1958.0,N,Y,Y,1949,,,N
2619,202721,Darius,Morris,Darius Morris,"Morris, Darius",D. Morris,darius-morris,1991-01-03,Michigan,USA,Michigan/USA,6-4,195.0,5.0,14,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,darius_morris,2011.0,2014.0,Y,Y,Y,2011,2,41,N
2650,77668,Allen,Murphy,Allen Murphy,"Murphy, Allen",A. Murphy,allen-murphy,1952-07-15,Louisville,USA,Louisville/USA,6-4,190.0,1.0,20,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_allen_murphy,1976.0,1976.0,N,Y,Y,1975,2,35,N
2690,77687,Charles,Nash,Charles Nash,"Nash, Charles",C. Nash,charles-nash,1942-07-24,Kentucky,USA,Kentucky/USA,6-5,215.0,1.0,17,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_cotton_nash,1964.0,1964.0,N,Y,Y,1964,2,12,N
2715,77705,Johnny,Neumann,Johnny Neumann,"Neumann, Johnny",J. Neumann,johnny-neumann,1951-09-11,Mississippi,USA,Mississippi/USA,6-6,200.0,2.0,21,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_johnny_neumann,1976.0,1977.0,N,Y,Y,1973,6,98,N
2732,77721,Norm,Nixon,Norm Nixon,"Nixon, Norm",N. Nixon,norm-nixon,1955-10-11,Duquesne,USA,Duquesne/USA,6-2,170.0,10.0,10,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_norm_nixon,1977.0,1988.0,N,Y,Y,1977,1,22,N
2776,406,Shaquille,O'Neal,Shaquille O'Neal,"O'Neal, Shaquille",S. O'Neal,shaquille-oneal,1972-03-06,Louisiana State,USA,Louisiana State/USA,7-1,325.0,19.0,34,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,shaquille_o'neal,1992.0,2010.0,N,Y,Y,1992,1,1,Y
2786,1885,Lamar,Odom,Lamar Odom,"Odom, Lamar",L. Odom,lamar-odom,1979-11-06,Rhode Island,USA,Rhode Island/USA,6-10,230.0,15.0,,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,lamar_odom,1999.0,2013.0,N,Y,Y,1999,1,4,N
2843,77785,Keith,Owens,Keith Owens,"Owens, Keith",K. Owens,keith-owens,1969-05-31,UCLA,USA,UCLA/USA,6-7,225.0,1.0,25,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_keith_owens,1991.0,1991.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
2871,2470,Smush,Parker,Smush Parker,"Parker, Smush",S. Parker,smush-parker,1981-06-01,Fordham,USA,Fordham/USA,6-4,190.0,6.0,1,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,smush_parker,2002.0,2007.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
2885,77808,Myles,Patrick,Myles Patrick,"Patrick, Myles",M. Patrick,myles-patrick,1954-11-16,Auburn,USA,Auburn/USA,6-8,220.0,1.0,34,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_myles_patrick,1980.0,1980.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
2900,77818,Jim,Paxson,Jim Paxson,"Paxson, Jim",J. Paxson,jim-paxson,1932-12-19,Dayton,USA,Dayton/USA,6-6,200.0,2.0,11,Guard,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_dupp_jim_paxson,1956.0,1957.0,N,Y,Y,1956,1,3,N
2958,77859,John,Pilch,John Pilch,"Pilch, John",J. Pilch,john-pilch,1925-07-11,Wyoming,USA,Wyoming/USA,6-3,185.0,1.0,,Forward,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_john_pilch,1951.0,1951.0,N,Y,Y,1950,2,,N
3001,2694,Josh,Powell,Josh Powell,"Powell, Josh",J. Powell,josh-powell,1983-01-25,North Carolina State,USA,North Carolina State/USA,6-9,240.0,8.0,21,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,josh_powell,2005.0,2013.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
3044,77905,Kurt,Rambis,Kurt Rambis,"Rambis, Kurt",K. Rambis,kurt-rambis,1958-02-25,Santa Clara,USA,Santa Clara/USA,6-8,213.0,14.0,18,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_kurt_rambis,1981.0,1994.0,N,Y,Y,1980,3,58,N
3071,1630559,Austin,Reaves,Austin Reaves,"Reaves, Austin",A. Reaves,austin-reaves,1998-05-29,Oklahoma,USA,Oklahoma/USA,6-5,197.0,2.0,15,Guard,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,austin_reaves,2021.0,2023.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
3124,77962,Pat,Riley,Pat Riley,"Riley, Pat",P. Riley,pat-riley,1945-03-20,Kentucky,USA,Kentucky/USA,6-4,205.0,9.0,12,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_dupp_pat_riley,1967.0,1975.0,N,Y,Y,1967,1,7,N
3134,77973,Rick,Roberson,Rick Roberson,"Roberson, Rick",R. Roberson,rick-roberson,1947-07-07,Cincinnati,USA,Cincinnati/USA,6-9,231.0,7.0,50,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_rick_roberson,1969.0,1975.0,N,Y,Y,1969,1,15,N
3142,77978,Marv,Roberts,Marv Roberts,"Roberts, Marv",M. Roberts,marv-roberts,1950-01-29,Utah State,USA,Utah State/USA,6-8,200.0,1.0,30,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_marv_roberts,1976.0,1976.0,N,Y,Y,1971,3,45,N
3235,1626156,D'Angelo,Russell,D'Angelo Russell,"Russell, D'Angelo",D. Russell,dangelo-russell,1996-02-23,Ohio State,USA,Ohio State/USA,6-4,193.0,8.0,1,Guard,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,d'angelo_russell,2015.0,2023.0,N,Y,Y,2015,1,2,N
3241,203135,Robert,Sacre,Robert Sacre,"Sacre, Robert",R. Sacre,robert-sacre,1989-06-06,Gonzaga,Canada,Gonzaga/Canada,7-0,270.0,5.0,50,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,robert_sacre,2012.0,2015.0,Y,Y,Y,2012,2,60,N
3266,78063,Frank,Saul,Frank Saul,"Saul, Frank",F. Saul,frank-saul,1924-02-16,Seton Hall,USA,Seton Hall/USA,6-2,185.0,6.0,10,Guard,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_pep_saul,1949.0,1954.0,N,Y,Y,1949,1,10,N
3276,78071,Herm,Schaefer,Herm Schaefer,"Schaefer, Herm",H. Schaefer,herm-schaefer,1919-12-20,Indiana,USA,Indiana/USA,6-0,175.0,2.0,10,Guard,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_herm_schaefer,1948.0,1949.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
3290,78086,Dick,Schnittker,Dick Schnittker,"Schnittker, Dick",D. Schnittker,dick-schnittker,1928-05-27,Ohio State,USA,Ohio State/USA,6-5,200.0,6.0,15,Forward,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_dick_schnittker,1950.0,1957.0,N,Y,Y,1950,1,4,N
3296,203471,Dennis,Schroder,Dennis Schroder,"Schroder, Dennis",D. Schroder,dennis-schroder,1993-09-15,Braunschweig,Germany,Braunschweig/Germany,6-1,172.0,10.0,17,Guard,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,dennis_schroder,2013.0,2023.0,Y,Y,Y,2013,1,17,N
3297,78091,Howie,Schultz,Howie Schultz,"Schultz, Howie",H. Schultz,howie-schultz,1922-07-03,Hamline,USA,Hamline/USA,6-6,200.0,3.0,15,Forward,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_stretch_schultz,1949.0,1952.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
3302,2,Byron,Scott,Byron Scott,"Scott, Byron",B. Scott,byron-scott,1961-03-28,Arizona State,USA,Arizona State/USA,6-4,205.0,14.0,,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,byron_scott,1983.0,1996.0,N,Y,Y,1983,1,4,N
3322,78113,Frank,Selvy,Frank Selvy,"Selvy, Frank",F. Selvy,frank-selvy,1932-11-09,Furman,USA,Furman/USA,6-2,180.0,9.0,11,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_frank_selvy,1954.0,1963.0,N,Y,Y,1954,1,1,N
3343,216,Brian,Shaw,Brian Shaw,"Shaw, Brian",B. Shaw,brian-shaw,1966-03-22,California-Santa Barbara,USA,California-Santa Barbara/USA,6-6,200.0,15.0,20,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,brian_shaw,1988.0,2002.0,N,Y,Y,1988,1,24,N
3404,78169,Whitey,Skoog,Whitey Skoog,"Skoog, Whitey",W. Skoog,whitey-skoog,1926-11-02,Minnesota,USA,Minnesota/USA,5-11,180.0,6.0,20,Guard,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_whitey_skoog,1951.0,1956.0,N,Y,Y,1951,,,N
3433,78185,Donald,Smith,Donald Smith,"Smith, Donald",D. Smith,donald-smith,1920-07-27,Minnesota,USA,Minnesota/USA,6-2,190.0,1.0,,Forward,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_des_smith,1948.0,1948.0,N,Y,Y,1947,,,N
3437,78188,Elmore,Smith,Elmore Smith,"Smith, Elmore",E. Smith,elmore-smith,1949-05-09,Kentucky State,USA,Kentucky State/USA,7-1,250.0,8.0,3,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_elmore_smith,1971.0,1978.0,N,Y,Y,1971,1,3,N
3471,1091,Mike,Smrek,Mike Smrek,"Smrek, Mike",M. Smrek,mike-smrek,1962-08-31,Canisius,USA,Canisius/USA,7-0,250.0,7.0,55,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,mike_smrek,1985.0,1991.0,N,Y,Y,1985,2,25,N
3505,78233,Larry,Spriggs,Larry Spriggs,"Spriggs, Larry",L. Spriggs,larry-spriggs,1959-09-08,Howard,USA,Howard/USA,6-7,230.0,5.0,35,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_larry_spriggs,1981.0,1985.0,N,Y,Y,1981,4,81,N
3567,201180,Yue,Sun,Sun Sun,"Sun, Sun",S. Sun,yue-sun,1985-11-06,Beijing,China,Beijing/China,6-9,205.0,2.0,9,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,yue_sun,2008.0,2008.0,Y,Y,Y,2007,2,40,N
3580,1631306,Cole,Swider,Cole Swider,"Swider, Cole",C. Swider,cole-swider,1999-05-08,Syracuse,USA,Syracuse/USA,6-9,220.0,1.0,20,Forward,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,cole_swider,2022.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
3597,78294,Earl,Tatum,Earl Tatum,"Tatum, Earl",E. Tatum,earl-tatum,1953-07-26,Marquette,USA,Marquette/USA,6-4,185.0,4.0,43,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_earl_tatum,1976.0,1979.0,N,Y,Y,1976,2,21,N
3643,78317,Irving,Thomas,Irving Thomas,"Thomas, Irving",I. Thomas,irving-thomas,1966-01-02,Florida State,USA,Florida State/USA,6-8,225.0,1.0,30,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_irving_thomas,1990.0,1990.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
3672,202684,Tristan,Thompson,Tristan Thompson,"Thompson, Tristan",T. Thompson,tristan-thompson,1991-03-13,Texas-Austin,Canada,Texas-Austin/Canada,6-9,254.0,12.0,9,Center-Forward,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,tristan_thompson,2011.0,2023.0,N,Y,Y,2011,1,4,N
3680,9,Sedale,Threatt,Sedale Threatt,"Threatt, Sedale",S. Threatt,sedale-threatt,1961-09-10,West Virginia Tech,USA,West Virginia Tech/USA,6-2,185.0,14.0,2,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,sedale_threatt,1983.0,1996.0,N,Y,Y,1983,6,139,N
3770,89,Nick,Van Exel,Nick Van Exel,"Van Exel, Nick",N. Van Exel,nick-van-exel,1971-11-27,Cincinnati,USA,Cincinnati/USA,6-1,190.0,13.0,31,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,nick_van exel,1993.0,2005.0,N,Y,Y,1993,2,37,N
3775,1629020,Jarred,Vanderbilt,Jarred Vanderbilt,"Vanderbilt, Jarred",J. Vanderbilt,jarred-vanderbilt,1999-04-03,Kentucky,USA,Kentucky/USA,6-8,214.0,5.0,2,Forward,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,jarred_vanderbilt,2018.0,2023.0,Y,Y,Y,2018,2,41,N
3811,2756,Sasha,Vujacic,Sasha Vujacic,"Vujacic, Sasha",S. Vujacic,sasha-vujacic,1984-03-08,Udine,Slovenia,Udine/Slovenia,6-7,195.0,11.0,18,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,sasha_vujacic,2004.0,2016.0,N,Y,Y,2004,1,27,N
3817,78429,Milt,Wagner,Milt Wagner,"Wagner, Milt",M. Wagner,milt-wagner,1963-02-20,Louisville,USA,Louisville/USA,6-5,185.0,2.0,25,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_milt_wagner,1987.0,1990.0,N,Y,Y,1986,2,35,N
3837,1629022,Lonnie,Walker IV,Lonnie Walker IV,"Walker IV, Lonnie",L. Walker IV,lonnie-walker-iv,1998-12-14,Miami,USA,Miami/USA,6-4,204.0,5.0,4,Guard-Forward,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,lonnie_walker,2018.0,2023.0,Y,Y,Y,2018,1,18,N
3851,2575,Luke,Walton,Luke Walton,"Walton, Luke",L. Walton,luke-walton,1980-03-28,Arizona,USA,Arizona/USA,6-8,235.0,11.0,4,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,luke_walton,2003.0,2012.0,N,Y,Y,2003,2,32,N
3875,78467,Kermit,Washington,Kermit Washington,"Washington, Kermit",K. Washington,kermit-washington,1951-09-17,American,USA,American/USA,6-8,230.0,10.0,3,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_kermit_washington,1973.0,1987.0,N,Y,Y,1973,1,5,N
3925,78497,Jerry,West,Jerry West,"West, Jerry",J. West,jerry-west,1938-05-28,West Virginia,USA,West Virginia/USA,6-3,175.0,14.0,44,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_jerry_west,1960.0,1973.0,N,Y,Y,1960,1,2,Y
3971,78526,Gene,Wiley,Gene Wiley,"Wiley, Gene",G. Wiley,gene-wiley,1937-11-12,Wichita State,USA,Wichita State/USA,6-10,210.0,4.0,12,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_gene_wiley,1962.0,1965.0,N,Y,Y,1962,2,15,N
3978,78532,Jamaal,Wilkes,Jamaal Wilkes,"Wilkes, Jamaal",J. Wilkes,jamaal-wilkes,1953-05-02,UCLA,USA,UCLA/USA,6-6,190.0,12.0,52,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_jamaal_wilkes,1974.0,1985.0,N,Y,Y,1974,1,11,N
3993,78564,Bob,Williams,Bob Williams,"Williams, Bob",B. Williams,bob-williams,1931-05-12,Florida A&M,USA,Florida A&M/USA,6-6,230.0,2.0,33,Forward,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_bob_williams,1955.0,1956.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
4020,1629140,Johnathan,Williams,Johnathan Williams,"Williams, Johnathan",J. Williams,johnathan-williams,1995-05-22,Gonzaga,USA,Gonzaga/USA,6-9,228.0,3.0,19,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,johnathan_williams,2018.0,2019.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
4115,1897,Metta,World Peace,Metta World Peace,"World Peace, Metta",M. World Peace,metta-world-peace,1979-11-13,St. John's (NY),USA,St. John's (NY)/USA,6-7,260.0,18.0,37,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,metta_world peace,1999.0,2016.0,N,Y,Y,1999,1,16,N
4117,1460,James,Worthy,James Worthy,"Worthy, James",J. Worthy,james-worthy,1961-02-27,North Carolina,USA,North Carolina/USA,6-9,225.0,12.0,42,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,james_worthy,1982.0,1993.0,N,Y,Y,1982,1,1,Y
4141,78630,Wayne,Yates,Wayne Yates,"Yates, Wayne",W. Yates,wayne-yates,1937-11-07,Memphis,USA,Memphis/USA,6-8,235.0,1.0,55,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_wayne_yates,1961.0,1961.0,N,Y,Y,1961,1,5,N
